X,id,idLink,region,site,LandUse,SoilOrder,Year,pH,totalC,totalN,AMN,OlsenP_LR,OlsenP_Hills,bulkDensity,macroporosity-m05,macroporosity-m10,macroporositymin,macroporositymax,soillanduse,pHmin,pHmax,OlsenPmin,OlsenPmax,bulkDensitymin,bulkDensitymax,AMNmin,TotalNmin,TotalNmax,TotalCmin,OlsenP,macroporosity,meets_pH,meets_bulkDensity,meets_macroporosity,meets_OlsenP,meets_totalC,meets_totalN,meets_AMN,meets_organicR,meets_physicalS
946,1163,1067,Waikato,Waikato/1067,Dairy,Gley,2002,5.45,6.12,0.56,108,45,,0.99,5.257,6.2,10,30,Gley/Dairy,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,45,6.2,within,within,below,within,within,within,within,within,below
947,1344,1067,Waikato,Waikato/1067,Dairy,Gley,2012,5.59,5.886,0.542,105.1,28.668,,0.94,2.867,5.7,10,30,Gley/Dairy,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,28.668,5.7,within,within,below,within,within,within,within,within,below
948,1164,1068,Waikato,Waikato/1068,Crop_Hort,Gley,2002,5.75,5.95,0.55,55,18,,0.77,15.094,17.8,10,30,Gley/Crop_Hort,5,7.6,20,45,0.6,1.4,20,,,2.5,18,17.8,within,within,within,below,within,within,within,within,within
949,1345,1068,Waikato,Waikato/1068,Dairy,Gley,2012,5.97,9.381,0.776,186.967,31.055,,0.943,4.267,7.6,10,30,Gley/Dairy,5,6.6,15,45,0.6,1.4,50,0.25,0.7,2.5,31.055,7.6,within,within,below,within,within,above,within,above,below
950,1165,1069,Waikato,Waikato/1069,Dairy,Allophanic,2002,5.46,7.59,0.71,107,31,,0.88,3.816,4.5,10,30,Allophanic/Dairy,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,31,4.5,within,within,below,within,within,above,within,above,below
951,1419,1069,Waikato,Waikato/1069,Dairy,Allophanic,2012,6.06,7.663,0.741,124.946,39.677,,0.823,3.767,7.067,10,30,Allophanic/Dairy,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,39.677,7.067,within,within,below,within,within,above,within,above,below
952,1162,1070,Waikato,Waikato/1070,Crop_Hort,Organic,2002,5.08,26.283,1.073,26.667,20,,0.6,,,10,30,Organic/Crop_Hort,4.5,7.6,20,40,0.2,1,20,,,,20,,within,within,,within,within,within,within,within,
953,1346,1070,Waikato,Waikato/1070,Dairy,Organic,2012,5.67,27.246,1.185,108.975,22.124,,0.567,1,1,10,30,Organic/Dairy,4.5,7,20,40,0.2,1,50,0.25,0.7,,22.124,1,within,within,below,within,within,above,within,above,below
954,1166,1072,Waikato,Waikato/1072,Crop_Hort,Allophanic,2002,6.48,5.15,0.46,35,32,,0.75,19.588,23.1,10,30,Allophanic/Crop_Hort,5,7.6,20,50,0.5,1.3,20,,,3,32,23.1,within,within,within,within,within,within,within,within,within
955,1348,1072,Waikato,Waikato/1072,Drystock,Allophanic,2012,6.11,4.936,0.468,98.202,26.498,,0.943,6.733,9,10,30,Allophanic/Drystock,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,26.498,9,within,within,below,within,within,within,within,within,below
956,1073,1073,Waikato,Waikato/1073,Dairy,Recent,2008,6.02,5.987,0.566,173.285,21.431,,0.852,12.567,14.433,10,30,Recent/Dairy,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,21.431,14.433,within,within,within,within,within,within,within,within,within
957,1418,1073,Waikato,Waikato/1073,Dairy,Recent,2012,6,5.797,0.593,178.941,27.677,,0.877,2.4,2.867,10,30,Recent/Dairy,5,6.6,15,45,0.7,1.4,50,0.25,0.7,2,27.677,2.867,within,within,below,within,within,within,within,within,below
958,1075,1075,Waikato,Waikato/1075,Forestry,Allophanic,2008,5.59,13.925,1.158,120.977,7.087,,0.516,24.267,28.833,8,30,Allophanic/Forestry,3.5,7.6,5,30,0.5,1.3,20,0.1,0.7,3,7.087,28.833,within,within,within,within,within,above,within,above,within
959,1396,1075,Waikato,Waikato/1075,Forestry,Allophanic,2013,5.28,13.602,1.044,132.178,18.351,,0.521,17.867,21.767,8,30,Allophanic/Forestry,3.5,7.6,5,30,0.5,1.3,20,0.1,0.7,3,18.351,21.767,within,within,within,within,within,above,within,above,within
960,1076,1076,Waikato,Waikato/1076,Dairy,Allophanic,2008,5.85,15.488,1.311,242.445,13.047,,0.757,1.833,4.9,10,30,Allophanic/Dairy,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,13.047,4.9,within,within,below,below,within,above,within,above,below
961,1417,1076,Waikato,Waikato/1076,Dairy,Allophanic,2012,6.24,13.583,1.263,235.245,23.518,,0.65,1.8,2.033,10,30,Allophanic/Dairy,5,6.6,20,50,0.5,1.3,50,0.25,0.7,3,23.518,2.033,within,within,below,within,within,above,within,above,below
